,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,0.32523460388183595,0.006680350074856924,0.013245677947998047,0.00014369688520014912,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
114,0.32090024948120116,0.0028548355127796118,0.01364293098449707,0.0003939770633886259,1.0,0.1,8,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
113,0.5694986820220947,0.0036512020393129016,0.013454341888427734,0.00031372151254111636,1.0,0.1,20,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
112,0.33066730499267577,0.008077179932152576,0.01350245475769043,0.0003570442078150413,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
111,0.32195248603820803,0.003016168452165664,0.013312339782714844,8.807712832232486e-05,1.0,0.1,8,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
110,0.5705422401428223,0.003906344468727194,0.013333320617675781,0.00023577039577960194,1.0,0.1,20,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
108,0.32854838371276857,0.010760707390939503,0.013432979583740234,0.00013785328431221587,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
106,0.3210770130157471,0.003227484704730934,0.013319253921508789,0.0002677531720630966,1.0,0.1,8,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
103,0.32272682189941404,0.002164468783726273,0.013441514968872071,0.00024327105582445257,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
102,0.5727282524108886,0.005395871039676944,0.013493824005126952,0.00026798742092918156,1.0,0.1,20,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
101,0.3211058139801025,0.004747653114246185,0.013260316848754884,0.00029979732416094795,1.0,0.1,8,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
99,0.3226597785949707,0.004500735670302719,0.01340498924255371,0.0002898748972724697,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
98,0.5734888553619385,0.005184337427502431,0.013336849212646485,0.0001960880209637835,1.0,0.1,20,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
96,0.3223428249359131,0.00216470468719838,0.013383245468139649,0.00016782219935839154,1.0,0.1,8,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
95,0.32291903495788576,0.00225016838146627,0.013420581817626953,0.00012595389749875873,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.6059654631083202,0.5813710099424385,0.6084656084656084,0.5682539682539682,0.5900793650793651,0.59082708296994,0.015098410790551409,1
